LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C72038,19-213/Y2C-CQ2R2L/3T(CY),Everlight Elec,,0603,20mA Colorless Transparent Lens -40℃~+85℃ 585.5nm~591.5nm Yellow 120° 60mW 0603 LED Indication - Discrete ROHS,YES,1500,30\30,0.0147,22.05
C70377,CR2032-BS-6-1,Q&J,,SMD,Battery holder CR2032 SMD Button And Strip Battery Connector ROHS,YES,50,5\5,0.125,6.25
C381137,U231-091N-3GRC10,XKB Connection,,Plugin,3A 1 9P Mother -40℃~+85℃ Type-A Plugin USB Connectors ROHS,YES,50,1\1,0.3194,15.97
C2681563,MINI 5PTP,SHOU HAN,,SMD,1A 1 Horizontal attachment 5P Mother -30℃~+80℃ SMD USB Connectors ROHS,YES,50,10\10,0.0576,2.88
C2895032,USB-306BWD-ARW,XUNPU,,Plugin,USB 3.0 1.8A 1 Bend-in 9P Mother -55℃~+85℃ Type-B Plugin USB Connectors ROHS,YES,50,1\1,0.3618,18.09
C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,,0805,25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.0092,0.46
C4190,0603WAF2201T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 2.2kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,1500,100\100,0.0007,1.05
C456013,TYPE-C 24P QCHT,SHOU HAN,,SMD,USB 3.1 3A 1 Horizontal attachment 24P Mother -40℃~+85℃ Type-C SMD USB Connectors ROHS,YES,100,1\1,0.2745,27.45
C10418,920-E52A2021S10100,Jing Extension of the Electronic Co.,,SMD,1A USB 2.0 1 5P Mother Micro-B SMD USB Connectors ROHS,YES,50,5\5,0.0517,2.59
